fips,region,heat_exposure_rank,wildfire_exposure_rank,asset_density_rank,composite_risk_score
48495,ERCOT,0.14285714285714285,0.0,0.6165413533834586,0.2421052631578947
48497,ERCOT,0.42857142857142855,0.0,0.7894736842105263,0.40827067669172934
48499,ERCOT,0.7744360902255639,0.0,0.6766917293233082,0.5127819548872181
48503,ERCOT,0.45864661654135336,0.0,0.5037593984962406,0.33458646616541354
48505,ERCOT,0.09774436090225563,0.0,0.03007518796992481,0.0481203007518797
06001,CAISO,0.58,0.44,0.94,0.6459999999999999
06007,CAISO,0.64,0.82,0.6,0.6819999999999999
06009,CAISO,0.76,0.7,0.38,0.628
06013,CAISO,0.72,0.62,0.96,0.762
06015,CAISO,0.94,0.16,0.34,0.526
06017,CAISO,0.98,0.72,0.28,0.692
06019,CAISO,0.12,0.6,0.52,0.384
06023,CAISO,0.88,0.58,0.24,0.598
06025,CAISO,0.62,0.05,0.56,0.43100000000000005
06027,CAISO,0.48,0.1,0.02,0.228
06029,CAISO,0.24,0.86,0.74,0.576
06031,CAISO,0.4,0.26,0.66,0.43600000000000005
06035,CAISO,0.92,0.5,0.18,0.5720000000000001
06037,CAISO,0.26,1.0,0.92,0.68
06039,CAISO,0.46,0.2,0.42,0.37
06041,CAISO,0.1,0.14,0.48,0.226
06043,CAISO,1.0,0.34,0.08,0.526
06045,CAISO,0.66,0.88,0.04,0.54
06047,CAISO,0.42,0.24,0.54,0.402
06049,CAISO,0.78,0.38,0.16,0.47400000000000003
06051,CAISO,0.86,0.12,0.06,0.398
06053,CAISO,0.6,0.52,0.44,0.528
06055,CAISO,0.44,0.36,0.36,0.392
06057,CAISO,0.96,0.74,0.46,0.744
06059,CAISO,0.18,0.54,0.98,0.528
06061,CAISO,0.84,0.66,0.76,0.762
06065,CAISO,0.54,0.9,0.64,0.678
06067,CAISO,0.7,0.05,1.0,0.595
06069,CAISO,0.04,0.56,0.1,0.214
06071,CAISO,0.82,0.78,0.32,0.658
06073,CAISO,0.9,0.96,0.68,0.8520000000000001
06075,CAISO,0.74,0.05,0.8,0.5509999999999999
06077,CAISO,0.52,0.05,0.9,0.49300000000000005
06079,CAISO,0.34,0.8,0.2,0.436
06081,CAISO,0.14,0.3,0.88,0.41000000000000003
06083,CAISO,0.5,0.68,0.3,0.494
06085,CAISO,0.06,0.64,0.86,0.474
06087,CAISO,0.02,0.18,0.78,0.296
06089,CAISO,0.36,0.98,0.5,0.588
06093,CAISO,0.28,0.92,0.22,0.454
06095,CAISO,0.08,0.28,0.84,0.368
06097,CAISO,0.68,0.76,0.7,0.71
06099,CAISO,0.56,0.4,0.82,0.59
06103,CAISO,0.16,0.84,0.14,0.358
06105,CAISO,0.38,0.42,0.12,0.314
06107,CAISO,0.32,0.32,0.4,0.344
06109,CAISO,0.22,0.46,0.26,0.30400000000000005
06111,CAISO,0.3,0.94,0.58,0.576
06113,CAISO,0.2,0.22,0.62,0.332
06115,CAISO,0.8,0.48,0.72,0.68
